Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 08:00:19 2014

write_fb:
  file_in:       laser2a0003002.dat
  laser_period:  2a
  track:         0003
  cycle:         002
  file_out:      laser2a0003002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2003
  Month:                   10
  Day:                     21
  Hour:                    23
  Minute:                   4
  Doy:                    294
  record_count:          2793
  non_zero_count:        2780
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   84.727931  256.822873    0.595319    3.580392
   84.728950  256.810067    0.652051    4.114216
   84.729968  256.797279    0.277012    0.605390
   84.730985  256.784526    0.361907    1.384979
   84.732002  256.771785    0.461004    2.317345
   84.733019  256.759051    0.561708    3.264829
   84.734036  256.746318    0.917144    6.608657
   84.735054  256.733580    0.597601    3.602733
   84.736072  256.720836    0.275465    0.602010
   84.737090  256.708080    0.405761    1.798282
   84.738107  256.695305    0.450771    2.221831
   84.739125  256.682501    0.481656    2.512501
   84.740142  256.669678    0.531188    2.978584
   84.741158  256.656839    0.648453    4.081861
   84.742172  256.643985    0.381452    1.570221
   84.743183  256.631114    0.259295    0.566672
   84.744192  256.618231    0.262695    0.574102
   84.745199  256.605336    0.380306    1.559805
   84.746205  256.592434    0.423917    1.970193
   84.747208  256.579534    0.594814    3.578007
   84.748211  256.566620    0.405617    1.798288
   84.749212  256.553689    0.601351    3.639750
   84.750214  256.540733    0.330805    1.094759
   84.751217  256.527736    0.602040    3.646482
   84.752220  256.514722    0.632568    3.933791
   84.753223  256.501696    0.544136    3.102008
   84.754226  256.488668    0.589879    3.532448
   84.755226  256.475647    0.576322    3.405034
   84.756226  256.462627    0.567095    3.318356
   84.757227  256.449609    0.566964    3.317249
   84.758227  256.436594    0.586878    3.504715
   84.759229  256.423583    0.541457    3.077544
   84.760232  256.410578    0.683095    4.410110
   84.761236  256.397582    0.609591    3.718757
   84.762242  256.384597    0.028321    0.061894
   84.763250  256.371632    0.572308    3.368274
   84.764260  256.358675    0.602738    3.654663
   84.765270  256.345723    0.415312    1.891602
   84.766281  256.332772    0.215909    0.471854
   84.767293  256.319816    0.321914    1.013224
   84.768306  256.306863    0.489694    2.591713
   84.769318  256.293913    0.575459    3.398657
   84.770330  256.280970    0.607990    3.704807
   84.771343  256.268043    0.606185    3.687950
   84.772354  256.255117    0.605505    3.681684
   84.773364  256.242189    0.590396    3.539670
   84.774372  256.229257    0.557485    3.230185
   84.775376  256.216317    0.538470    3.051426
   84.776378  256.203363    0.676203    4.347251
   84.777378  256.190393    0.633071    3.941616
   84.778379  256.177396    0.399730    1.746627
   84.779380  256.164364    0.123612    0.270145
   84.780381  256.151307    0.206887    0.452138
   84.781381  256.138227    0.467918    2.388465
   84.782379  256.125122    0.615294    3.775002
   84.783375  256.111987    0.526196    2.936951
   84.784369  256.098836    0.641448    4.021290
   84.785362  256.085669    0.506244    2.749509
   84.786354  256.072494    0.506176    2.748992
   84.787344  256.059317    0.452178    2.241139
   84.788334  256.046134    0.530327    2.976443
   84.789323  256.032947    0.493563    2.630712
   84.790312  256.019755    0.628531    3.900523
   84.791302  256.006560    0.530595    2.979328
   84.792292  255.993363    0.680141    4.386284
   84.793283  255.980163    0.455246    2.270744
   84.794276  255.966960    0.487247    2.571920
   84.795270  255.953747    0.683254    4.415942
   84.796265  255.940539    0.659551    4.193088
   84.797262  255.927340    0.589832    3.537338
   84.798259  255.914156    0.720357    4.765361
   84.799258  255.901001    0.463065    2.345052
   84.800257  255.887863    0.575522    3.403096
   84.801257  255.874739    0.568228    3.334603
   84.802257  255.861631    0.710707    4.675070
   84.803258  255.848542    0.606086    3.690994
   84.804258  255.835462    0.469696    2.408052
   84.805259  255.822384    0.590803    3.547470
   84.806260  255.809305    0.541920    3.087731
   84.807261  255.796216    0.606158    3.692165
   84.808261  255.783119    0.543928    3.106868
   84.809261  255.770011    0.579370    3.440412
   84.810262  255.756889    0.630483    3.921370
   84.811263  255.743748    0.519234    2.874934
   84.812263  255.730591    0.601870    3.652442
   84.813262  255.717418    0.678362    4.372151
   84.814259  255.704231    0.604545    3.677859
   84.815252  255.691031    0.421802    1.958854
   84.816243  255.677813    0.392080    1.679379
   84.817232  255.664575    0.585717    3.501104
   84.818219  255.651313    0.625268    3.873304
   84.819205  255.638023    0.809188    5.603625
   84.820189  255.624709    0.830483    5.804081
   84.821172  255.611375    0.696002    4.539095
   84.822154  255.598018    0.768934    5.225311
   84.823135  255.584631    0.852283    6.009534
   84.824115  255.571234    0.643673    4.047193
   84.825095  255.557831    0.617312    3.799329
   84.826074  255.544437    0.568030    3.335844
   84.827054  255.531068    0.641009    4.022505
   84.828033  255.517705    0.841392    5.907700
   84.829013  255.504347    0.804261    5.558522
   84.829994  255.490991    0.476289    2.473294
   84.830975  255.477633    0.633815    3.955325
   84.831958  255.464277    0.820881    5.715240
   84.832941  255.450923    0.805213    5.567975
   84.833926  255.437573    0.643546    4.047240
   84.834914  255.424224    0.531460    2.992929
   84.835902  255.410880    0.521941    2.903509
   84.836891  255.397539    0.676226    4.355043
   84.837881  255.384203    0.781344    5.344043
   84.838871  255.370870    0.708931    4.662957
   84.839862  255.357542    0.630861    3.928651
   84.840853  255.344222    0.814276    5.654224
   84.841844  255.330913    0.822482    5.731540
   84.842835  255.317623    0.754531    5.092427
   84.843826  255.304338    0.718493    4.753530
   84.844816  255.291051    0.653024    4.137764
   84.845805  255.277758    0.398981    1.748023
   84.846793  255.264453    0.237532    0.519109
   84.847779  255.251135    0.245296    0.536078
   84.848765  255.237803    0.584288    3.491639
   84.849750  255.224451    0.698176    4.563142
   84.850734  255.211074    0.838792    5.886091
   84.851718  255.197678    0.714001    4.712267
   84.852701  255.184264    0.566758    3.327223
   84.853682  255.170834    0.725062    4.816565
   84.854663  255.157391    0.908271    6.540201
   84.855642  255.143931    0.786219    5.392143
   84.856619  255.130455    0.762510    5.169229
   84.857595  255.116960    0.779367    5.327929
   84.858568  255.103445    0.591851    3.564030
   84.859540  255.089914    0.805003    5.569346
   84.860511  255.076369    0.770628    5.246089
   84.861483  255.062808    0.730203    4.865922
   84.862456  255.049229    0.536058    3.039667
   84.863430  255.035643    0.726933    4.835409
   84.864404  255.022055    0.575994    3.415604
   84.865378  255.008472    0.831369    5.818132
   84.866353  254.994903    0.831210    5.816761
   84.867328  254.981341    0.765117    5.195118
   84.868303  254.967791    0.492848    2.633924
   84.869278  254.954255    0.424161    1.987882
   84.870254  254.940742    0.670232    4.302880
   84.871230  254.927238    0.482240    2.534503
   84.872207  254.913742    0.417721    1.927672
   84.873185  254.900249    0.555731    3.226105
   84.874164  254.886754    0.462415    2.348371
   84.875144  254.873260    0.734152    4.904821
   84.876124  254.859765    0.685622    4.448404
   84.877104  254.846268    0.903358    6.496847
   84.878084  254.832769    0.624511    3.873763
   84.879063  254.819266    0.796221    5.489215
   84.880042  254.805757    0.275128    0.601272
   84.881019  254.792240    0.696447    4.550859
   84.881994  254.778713    0.601703    3.659691
   84.882968  254.765175    0.712191    4.699214
   84.883940  254.751623    0.694098    4.529134
   84.884911  254.738052    0.699943    4.584240
   84.885881  254.724456    0.705117    4.633039
   84.886849  254.710843    0.772771    5.269602
   84.887817  254.697216    0.766188    5.207803
   84.888783  254.683578    0.594536    3.593133
   84.889749  254.669933    0.769227    5.236630
   84.890715  254.656276    0.799019    5.517019
   84.891680  254.642608    0.714877    4.725590
   84.892643  254.628926    0.865962    6.147021
   84.893606  254.615226    0.770067    5.245032
   84.894569  254.601519    0.612574    3.763560
   84.895530  254.587806    0.756516    5.117795
   84.896492  254.574091    0.416253    1.916951
   84.897453  254.560384    0.753190    5.086755
   84.898415  254.546675    0.676955    4.369710
   84.899377  254.532967    0.648524    4.102366
   84.900340  254.519257    0.692131    4.512716
   84.901305  254.505543    0.509981    2.799292
   84.902270  254.491830    0.703422    4.619185
   84.903238  254.478117    0.555053    3.223546
   84.904207  254.464406    0.642603    4.047284
   84.905179  254.450696    0.695385    4.543942
   84.906152  254.436989    0.696324    4.552897
   84.907125  254.423289    0.676790    4.369263
   84.908098  254.409599    0.619174    3.827367
   84.909069  254.395928    0.474434    2.465878
   84.910039  254.382263    0.408640    1.847050
   84.911009  254.368599    0.513027    2.829179
   84.911979  254.354933    0.612642    3.766411
   84.912949  254.341261    0.546372    3.143111
   84.913919  254.327582    0.336541    1.169284
   84.914887  254.313893    0.440232    2.144855
   84.915855  254.300190    0.451309    2.249188
   84.916820  254.286466    0.580123    3.461110
   84.917784  254.272729    0.545410    3.134674
   84.918747  254.258980    0.506714    2.770766
   84.923535  254.190089    0.493984    2.651624
   84.924488  254.176251    0.466449    2.392716
   84.925440  254.162394    0.639085    4.016885
   84.929249  254.106806    0.456480    2.299547
   84.931154  254.078949    0.418989    1.947104
   84.934003  254.037157    0.427130    2.024062
   84.934955  254.023233    0.420977    1.966298
   84.935910  254.009321    0.000000    0.000000
   84.936866  253.995416    0.164142    0.358720
   84.937822  253.981520    0.259742    0.567648
   84.940696  253.939888    0.389775    1.673513
   84.941655  253.926022    0.456774    2.303918
   84.942616  253.912156    0.582775    3.489376
   84.943579  253.898285    0.574301    3.409776
   84.944543  253.884412    0.556853    3.245758
   84.945506  253.870540    0.618225    3.823231
   84.946470  253.856667    0.454719    2.285195
   84.947433  253.842797    0.735518    4.926890
   84.948394  253.828927    0.543253    3.118314
   84.949355  253.815055    0.248911    0.543977
   84.952225  253.773446    0.380001    1.583036
   84.953179  253.759559    0.351295    1.313114
   84.954132  253.745648    0.322782    1.045002
   84.955086  253.731700    0.494990    2.665148
   84.956039  253.717732    0.422835    1.986478
   84.956990  253.703745    0.511326    2.819072
   84.957939  253.689744    0.548431    3.168251
   84.958884  253.675731    0.484668    2.568530
   84.959828  253.661706    0.333993    1.151206
   84.960770  253.647671    0.498673    2.700526
   84.961712  253.633627    0.724827    4.828159
   84.963593  253.605521    0.670031    4.312921
   84.964533  253.591452    0.561798    3.294857
   84.965473  253.577365    0.514914    2.853930
   84.966413  253.563252    0.317916    1.000822
   84.967354  253.549130    0.312043    0.945701
   84.999371  253.068617    0.000000    0.000000
   85.004964  252.982895    0.345445    1.264840
   85.006836  252.954302    0.427696    2.038856
   85.007773  252.940011    0.184350    0.402885
   85.011522  252.882922    0.437336    2.130154
   85.019940  252.754454    0.398407    1.765043
   85.020872  252.740112    0.549799    3.189359
   85.021803  252.725771    0.472479    2.462108
   85.022731  252.711450    0.285305    0.701427
   85.023657  252.697125    0.501602    2.736324
   85.024582  252.682789    0.376757    1.561984
   85.025506  252.668435    0.419260    1.961949
   85.026430  252.654046    0.436529    2.124527
   85.027352  252.639642    0.407662    1.853091
   85.028274  252.625224    0.569055    3.371497
   85.029195  252.610796    0.601585    3.677633
   85.030114  252.596366    0.699608    4.599887
   85.031954  252.567474    0.237030    0.518013
   85.032874  252.553011    0.562443    3.309903
   85.034719  252.524038    0.568298    3.365223
   85.987559  223.024444    0.298152    1.008806
   85.987756  223.002461    0.431766    2.265870
   85.987953  222.980450    0.531358    3.202878
   85.988149  222.958435    0.372950    1.712791
   85.988344  222.936419    0.192541    0.420784
   85.988539  222.914413    0.133137    0.290961
   85.988732  222.892434    0.219770    0.480291
   85.988925  222.870459    0.287402    0.908453
   85.989118  222.848482    0.558035    3.454502
   85.989312  222.826496    0.637672    4.203787
   85.989506  222.804498    0.502309    2.930492
   85.989700  222.782484    0.665949    4.470016
   85.989895  222.760453    0.700591    4.796015
   85.990091  222.738391    0.755282    5.310626
   85.990287  222.716277    0.610016    3.944170
   85.990483  222.694150    0.637752    4.205206
   85.990679  222.672020    0.677490    4.579143
   85.990874  222.649907    0.652224    4.341571
   85.991069  222.627838    0.601971    3.868932
   85.991263  222.605778    0.653698    4.355657
   85.991456  222.583725    0.657189    4.388607
   85.991648  222.561671    0.634963    4.179635
   85.991838  222.539611    0.367087    1.659747
   85.992026  222.517546    0.551881    3.398272
   85.992214  222.495470    0.505328    2.960451
   85.992400  222.473379    0.444185    2.385363
   85.992584  222.451255    0.895062    6.627033
   85.992768  222.429125    0.660926    4.424543
   85.992951  222.406994    0.639829    4.226186
